HUNCHO JACK,Mike Dean
Snoop Dogg,Mike Dean
Snoop Dogg,Dr. Dre
Kendrick Lamar,Dr. Dre
Rihanna,Kuk Harrell
Justin Bieber,Kuk Harrell
Justine Skye,Kuk Harrell
Travis Scott,Mike Dean
Rihanna,Travis Scott
Gwen Stefani,Pharrell Williams
Pharrell Williams,Daft Punk
Snoop Dogg,Pharrell Williams
Snoop Dogg,Kurupt
Jhene Aiko,Kurupt
40,Rihanna
40,Drake
Tyler the Creator,Pharrell Williams
Britney Spears,The Neptunes
Kelis,The Neptunes
Overdoz.,Pharrell Williams
Travis Scott,Pharrell Williams
Waka Flocka Flame,Lex Luger
Kanye West,Southside
Kanye West,Pharrell Williams
Travis Scott,WondaGurl
Rihanna,WondaGurl
JAY-Z,WondaGurl
The Internet,Tyler the Creator
Jazmine Sullivan,Missy Elliot
J. Cole,Missy Elliot
J. Cole,Kanye West
Rick Ross,Lex Luger
G. Herbo,Southside
A$AP Rocky,Tyler the Creator
Kali Uchis,Tyler the Creator
MellowHigh,Tyler the Creator
Nicki Minaj,40
Lil Wayne,40
Lil Wayne,Mannie Fresh
Chance the Rapper,KAYTRANADA
50 Cent,The Neptunes
50 Cent,Dr. Dre
Chance the Rapper,Kanye West
Rick Ross,The Neptunes